unidade;ano;mes;setor_centro_custo;media_permanencia_setor
CHPB;2023;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;28,666666666666668
CHPB;2023;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;279,0
CHPB;2023;6;CAC - CENTRO DE ACOLHIMENTO DE CRISE;20,344827586206897
CHPB;2023;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;38,5625
CHPB;2023;6;UNIDADE INTERNAÇÃO - PSIQUIATRIA;17,0
CHPB;2023;7;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34,810810810810814
CHPB;2023;7;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;73,66666666666667
CHPB;2023;8;CAC - CENTRO DE ACOLHIMENTO DE CRISE;30,76
CHPB;2023;8;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;43,68421052631579
CHPB;2023;9;CAC - CENTRO DE ACOLHIMENTO DE CRISE;25,40909090909091
CHPB;2023;9;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;43,18181818181818
CHPB;2023;10;CAC - CENTRO DE ACOLHIMENTO DE CRISE;31,055555555555557
CHPB;2023;10;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;49,07692307692308
CHPB;2023;10;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1393,0
CHPB;2023;11;CAC - CENTRO DE ACOLHIMENTO DE CRISE;82,0
CHPB;2023;11;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;54,27272727272727
CHPB;2023;12;CAC - CENTRO DE ACOLHIMENTO DE CRISE;40,92857142857143
CHPB;2023;12;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;44,78947368421053
CHPB;2023;12;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1,0
CHPB;2024;1;CAC - CENTRO DE ACOLHIMENTO DE CRISE;34,041666666666664
CHPB;2024;1;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;39,72222222222222
CHPB;2024;2;CAC - CENTRO DE ACOLHIMENTO DE CRISE;16,529411764705884
CHPB;2024;2;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;31,3
CHPB;2024;2;UNIDADE INTERNAÇÃO - PSIQUIATRIA;5942,0
CHPB;2024;3;CAC - CENTRO DE ACOLHIMENTO DE CRISE;46,94444444444444
CHPB;2024;3;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;23,5
CHPB;2024;3;UNIDADE INTERNAÇÃO - PSIQUIATRIA;1494,0
CHPB;2024;4;CAC - CENTRO DE ACOLHIMENTO DE CRISE;24,275862068965516
CHPB;2024;4;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;24,6
CHPB;2024;5;CAC - CENTRO DE ACOLHIMENTO DE CRISE;25,346153846153847
CHPB;2024;5;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;35,714285714285715
CHPB;2024;5;UNIDADE INTERNAÇÃO - PSIQUIATRIA;44,0
CHPB;2024;6;CAC - CENTRO DE ACOLHIMENTO DE CRISE;26,428571428571427
CHPB;2024;6;UIP-MASCULINA/CHPB/CHB;24,75
CHPB;2024;6;UNIDADE DE CUIDADOS CONTINUADOS INTEGRADOS;36,23076923076923
CHPB;2024;6;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;8,0
CHPB;2024;7;UIP-FEMININA/CHPB/CHB;40,5
CHPB;2024;7;UIP-MASCULINA/CHPB/CHB;85,66666666666667
CHPB;2024;7;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;37,72222222222222
CHPB;2024;8;LAR INCLUSIVO A/CHPB/CHB;1332,0
CHPB;2024;8;UIP-FEMININA/CHPB/CHB;43,666666666666664
CHPB;2024;8;UIP-MASCULINA/CHPB/CHB;24,642857142857142
CHPB;2024;8;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;27,375
CHPB;2024;9;CAC/CHPB/CHB;1680,0
CHPB;2024;9;LAR INCLUSIVO B/CHPB/CHB;4235,0
CHPB;2024;9;UIP-FEMININA/CHPB/CHB;21,9
CHPB;2024;9;UIP-MASCULINA/CHPB/CHB;19,6
CHPB;2024;9;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;41,92307692307692
CHPB;2024;10;LAR INCLUSIVO B/CHPB/CHB;3594,0
CHPB;2024;10;UIP-FEMININA/CHPB/CHB;14,75
CHPB;2024;10;UIP-MASCULINA/CHPB/CHB;22,2
CHPB;2024;10;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;36,74074074074074
CHPB;2024;11;CAC/CHPB/CHB;22,0
CHPB;2024;11;LAR INCLUSIVO B/CHPB/CHB;577,0
CHPB;2024;11;UIP-FEMININA/CHPB/CHB;108,9090909090909
CHPB;2024;11;UIP-MASCULINA/CHPB/CHB;39,11764705882353
CHPB;2024;11;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;20,294117647058822
CHPB;2024;12;LAR INCLUSIVO A/CHPB/CHB;768,25
CHPB;2024;12;LAR INCLUSIVO B/CHPB/CHB;2577,0
CHPB;2024;12;UIP-FEMININA/CHPB/CHB;20,583333333333332
CHPB;2024;12;UIP-MASCULINA/CHPB/CHB;16,541666666666668
CHPB;2024;12;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;31,8125
CHPB;2025;1;CAC/CHPB/CHB;12,0
CHPB;2025;1;LAR INCLUSIVO A/CHPB/CHB;1442,0
CHPB;2025;1;LAR INCLUSIVO B/CHPB/CHB;1910,75
CHPB;2025;1;UIP-FEMININA/CHPB/CHB;22,428571428571427
CHPB;2025;1;UIP-MASCULINA/CHPB/CHB;18,5
CHPB;2025;1;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;37,6
CHPB;2025;2;UIP-FEMININA/CHPB/CHB;21,09090909090909
CHPB;2025;2;UIP-MASCULINA/CHPB/CHB;18,3125
CHPB;2025;2;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;48,875
CHPB;2025;3;LAR INCLUSIVO B/CHPB/CHB;1346,0
CHPB;2025;3;UIP-FEMININA/CHPB/CHB;26,818181818181817
CHPB;2025;3;UIP-MASCULINA/CHPB/CHB;21,761904761904763
CHPB;2025;3;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;27,0
CHPB;2025;4;LAR INCLUSIVO B/CHPB/CHB;2745,0
CHPB;2025;4;UIP-FEMININA/CHPB/CHB;20,46153846153846
CHPB;2025;4;UIP-MASCULINA/CHPB/CHB;31,647058823529413
CHPB;2025;4;UNIDADE DE CUIDADOS PROLONGADOS/CHPB/CHB;48,04545454545455
CHPB;2025;5;LAR INCLUSIVO A/CHPB/CHB;2503,0
CHPB;2025;5;LAR INCLUSIVO B/CHPB/CHB;224,0
CHPB;2025;5;UIP-FEMININA/CHPB/CHB;19,125
